,SkinID,ROI ID,680 nm,690 nm,700 nm,710 nm,720 nm,730 nm,740 nm,750 nm,760 nm,770 nm,780 nm,790 nm,800 nm,810 nm,820 nm,830 nm,840 nm,850 nm,860 nm,870 nm,880 nm,890 nm,900 nm,910 nm,920 nm,930 nm,940 nm,950 nm,960 nm,970 nm,980 nm,990 nm,1000 nm,1010 nm,1020 nm,1030 nm,1040 nm,1050 nm,1060 nm,1070 nm,1080 nm,1090 nm,1100 nm
61,SKIN16,1,0.018418643534882262,0.016077245082370115,0.016492731142054497,0.016190148392730943,0.01610677018754735,0.01577816249181769,0.013810807730763604,0.011939640556925861,0.010499016500437735,0.01040653547948973,0.010369101565038596,0.010174802814544923,0.009142118876535443,0.007044179349070504,0.005408807917764655,0.004164881149000061,0.0035291532625705826,0.0030652392575566912,0.0028281292244330134,0.002954727603130155,0.0028877292055599912,0.0030129314279678508,0.002706096652850382,0.0020122780837498883,0.0018193125315320122,0.0013736039900681953,0.0017600280328386338,0.0021906576338316685,0.002338755466055074,0.0027672692032494096,0.0026719696586253224,,,,,,,,,,,,
62,SKIN16,2,0.04864639485909358,0.043461773390960155,0.04400067629877219,0.043814173477789174,0.04329963485426858,0.04237883873852733,0.037960922962773466,0.03334563275983888,0.030295872104419183,0.029863124059502543,0.029619633680265402,0.028917280787959656,0.025833110589416286,0.02080024869469122,0.01602479542202219,0.012516392251861878,0.00959735611142161,0.007041511529794831,0.005287037602558438,0.004099824786087924,0.00312589561957666,0.002864616395011378,0.0028358884981795093,0.004318603254766694,0.005371800201915075,0.005004571748209633,0.004891161942561824,0.003918744085120121,0.003545457054759636,0.0038053181511924126,0.003909908110605784,,,,,,,,,,,,
63,SKIN16,3,0.07779287853965249,0.07355420689939236,0.07754058889536763,0.07823298513187908,0.0749201678867077,0.07175621353948711,0.0666187477574534,0.0635483623280592,0.06347316691415683,0.06587148192641415,0.06663193013297264,0.06764070112971428,0.06645526585781601,0.06306690395538561,0.06042693022618501,0.06029898502366162,0.060725084707951474,0.059426625179162786,0.05628091732429962,0.052077453106387034,0.0468581823799036,0.0419628721749639,0.03408236878105432,0.024601190097363373,0.020353984368085182,0.016757378889713254,0.023491512949136664,0.030221524579699063,0.031359713943862264,0.03335714941882376,0.032237797569718715,,,,,,,,,,,,
64,SKIN17,0,0.06086874028097407,0.061590642723514666,0.06002488280956169,0.057159276287195984,0.05795211381561857,0.0560897681296305,0.051553103354078235,0.04732369020719026,0.042223482250492606,0.041943535452674,0.04336030641232222,0.0421732335537486,0.03774522693566157,0.03239003285967535,0.025066460512323387,0.019858416671152755,0.015727980621821385,0.011871729876912467,0.009169935035913342,0.006427746921358705,0.004901226752909465,0.0033066687287613005,0.0014698528240353567,0.0011170449113826098,0.00116246108503599,0.0013882737118757682,0.0013646605448627293,0.0009201106208813987,0.0012968333374105702,0.0016063227176461642,0.0012508440993793711,,,,,,,,,,,,
65,SKIN17,1,0.01617620039634331,0.015875456980009577,0.015268506837697517,0.014424895338111933,0.01456249709723025,0.014186225031185475,0.012637532990151332,0.01100243548491207,0.009451647206058294,0.00921623778076391,0.009642178426579912,0.009147522475016422,0.007977593817916774,0.006719442491899493,0.004915380981836923,0.0039524439224172,0.003514792349460506,0.0035539635439442684,0.0036615806676996232,0.0040425833524805905,0.003991663238876394,0.003608447922396219,0.0029338015554360394,0.0015694338859337043,0.001660363050127264,0.0015871098257973248,0.0013398794650636453,0.002521543901879373,0.0026758657253156165,0.0029181920002643376,0.0029703181752365254,,,,,,,,,,,,
66,SKIN17,2,0.04412792896677802,0.04396248774010708,0.042480568571493044,0.04024073117107247,0.04064059569000303,0.03993775954399305,0.03624604445196134,0.032694528865834786,0.02860199303031473,0.0280936158988633,0.0285205079449955,0.027492558384383622,0.024345407305729906,0.020453630037302974,0.015172612669267034,0.011975716550039988,0.009156429149705188,0.006923443226441702,0.005175203015853953,0.0038657519276927,0.0030306059713905162,0.0026211563343678966,0.0029961280975865333,0.004585254397610794,0.005261794112804012,0.005003912765994827,0.005353489202150001,0.003876621919936927,0.0037209010087586557,0.0037906286291000783,0.003943826328422481,,,,,,,,,,,,
67,SKIN17,3,0.0704692478263807,0.07394830042927715,0.07444838041472732,0.07104159234839783,0.0706456118930257,0.06714168307145937,0.06378026991361052,0.06253873011467424,0.059686070728800146,0.06177601564317251,0.06365424494530833,0.06380835647477386,0.061910496483575,0.06122575992194748,0.05694138731051028,0.05701258363661788,0.05685589410346814,0.054971861710879186,0.053612745804937204,0.04942962536040064,0.045234630224851476,0.03861104728087585,0.031775694657685954,0.022337956377419605,0.01840381213231045,0.01551406124751574,0.021791103885254553,0.02788899409114752,0.029188545107973606,0.03153030212001545,0.030340344884618873,,,,,,,,,,,,
68,SKIN18,0,0.06974183159933432,0.05827951716501959,0.06561956584079605,0.06130574306523516,0.06277015091392905,0.059837757831534485,0.05603560875854509,0.04985200358241264,0.044605174298451164,0.044801779923135054,0.04630009723013228,0.04590534851296694,0.041174562920114614,0.033645414567222955,0.02698797716493314,0.021198775625154872,0.017539374320467118,0.01321699322323944,0.009879351286408591,0.007446526803509421,0.004890044029376688,0.0033210367556784507,0.001483502656033038,0.0011096752362197175,0.0015136391891158428,0.0019901500588531,0.0017086888049892212,0.0011296490134292817,0.0013016631174510977,0.0013004521563040774,0.0011989631658048333,,,,,,,,,,,,
69,SKIN18,1,0.018018084471348863,0.01461938078084238,0.01661433320618466,0.015010393161285992,0.015486273484545081,0.01478966140978441,0.013640807884226867,0.011743507530204592,0.010103711097373095,0.009869157843040089,0.010180616754919247,0.010083365149466445,0.008952862510150579,0.007216724758907101,0.0056518599984522735,0.004499387185292668,0.0039570879448915675,0.003293340258160955,0.0029628280004719548,0.0027339892447928007,0.0026834961795817276,0.0025683548605883867,0.00237418924959932,0.001645089113610026,0.0015493975030699814,0.0016072697149626745,0.0017934801212038858,0.0018919048740359294,0.0019725826999702407,0.0024770780331347985,0.0024671538270838733,,,,,,,,,,,,
70,SKIN18,2,0.04963493614410072,0.040758136533904255,0.0455936728734347,0.042050917105099846,0.04374630288063065,0.04136388258392604,0.03885389699434338,0.03415829720803595,0.02992611279964702,0.029642000330088306,0.030013802300282492,0.029332087732010806,0.02579453310559384,0.020625135250564964,0.01649480294122837,0.012483147672894991,0.010082822056136417,0.007514896970245348,0.005875508648219585,0.004036208034086538,0.0032815317323383517,0.002701874593430976,0.0034821180976557144,0.004732461384321704,0.005253455428480171,0.0042221776668315576,0.005350898647521952,0.004161476878155369,0.0041297656533543,0.0038147387610702878,0.0037875645050905117,,,,,,,,,,,,
