,ITA,Sig700,Region,SkinID
73,61.158,0.006400366438173212,Bicep,SKIN20
74,42.494,0.011130320312010954,Carotid Artery,SKIN20
75,62.102000000000004,0.009579845511026763,Leg,SKIN20
76,55.972,0.009826165884051297,Radial Artery,SKIN20
77,50.612,0.020536565845484533,Bicep,SKIN21
78,46.186,0.018559029097584796,Carotid Artery,SKIN21
79,43.275999999999996,0.023875365562191456,Leg,SKIN21
80,48.47199999999999,0.02008769742493272,Radial Artery,SKIN21
81,12.538,0.06587000747575705,Bicep,SKIN22
82,-5.35,0.08777066699448349,Carotid Artery,SKIN22
83,-29.532,0.12313348197347342,Leg,SKIN22
84,-13.533999999999999,0.09356778282261873,Radial Artery,SKIN22
85,54.60799999999999,0.010344917273692862,Bicep,SKIN23
86,51.989999999999995,0.010592944805720901,Carotid Artery,SKIN23
87,61.873999999999995,0.01139927369405743,Leg,SKIN23
88,56.336000000000006,0.011098540328332816,Radial Artery,SKIN23
89,50.8,0.013997454142370216,Bicep,SKIN24
90,45.556,0.010500674009764807,Carotid Artery,SKIN24
91,51.462,0.012392104342392138,Leg,SKIN24
92,52.59,0.011783689834238628,Radial Artery,SKIN24
93,25.374000000000002,0.04649315355212282,Bicep,SKIN25
94,6.220000000000001,0.05663693241085388,Carotid Artery,SKIN25
95,23.728,0.055440166586657215,Leg,SKIN25
96,22.142499999999995,0.05523754648937835,Radial Artery,SKIN25
97,24.27,0.0397377667970189,Bicep,SKIN26
98,-6.95,0.08790700176768801,Carotid Artery,SKIN26
99,7.146000000000001,0.09456670429035859,Leg,SKIN26
100,-0.5039999999999999,0.09658614810434689,Radial Artery,SKIN26
101,-26.653999999999996,0.09852252617637192,Bicep,SKIN29
102,-33.977999999999994,0.11114314541350352,Carotid Artery,SKIN29
103,-34.814,0.13792361251029606,Leg,SKIN29
104,-18.738,0.12525558606333087,Radial Artery,SKIN29
105,-29.470000000000002,0.12791008131057635,Bicep,SKIN31
106,-53.40599999999999,0.14969530382670632,Carotid Artery,SKIN31
107,-58.67400000000001,0.1788181266213886,Leg,SKIN31
108,-25.389999999999997,0.10271986120252731,Radial Artery,SKIN31
109,-1.302,0.08799511654510461,Bicep,SKIN32
110,0.07399999999999993,0.08027980032599287,Carotid Artery,SKIN32
111,10.658,0.1011362907254269,Leg,SKIN32
112,2.946,0.07794183644526415,Radial Artery,SKIN32
113,-39.70666666666667,0.12192428116825038,Bicep,SKIN35
114,-40.910000000000004,0.16119366483835765,Carotid Artery,SKIN35
115,-51.94333333333333,0.16835270866449026,Leg,SKIN35
116,-35.453333333333326,0.15146873955195003,Radial Artery,SKIN35
117,-63.59,0.13065959290208012,Bicep,SKIN38
118,-67.30666666666666,0.1283258004021577,Carotid Artery,SKIN38
119,-66.89,0.15215228942330564,Leg,SKIN38
120,-42.13,0.15965524708520604,Radial Artery,SKIN38
121,-21.659999999999997,0.12108959632254586,Bicep,SKIN39
122,-14.976666666666667,0.12442845842394215,Carotid Artery,SKIN39
123,-46.25333333333333,0.14954826770847773,Leg,SKIN39
124,-39.06666666666666,0.13158780450375615,Radial Artery,SKIN39
125,-27.86,0.15152244501179546,Bicep,SKIN40
126,-59.24666666666667,0.12580178484376228,Carotid Artery,SKIN40
127,-50.44333333333333,0.16690980693563184,Leg,SKIN40
128,-42.056666666666665,0.15816348239674344,Radial Artery,SKIN40
129,-29.898000000000007,0.08977605181464715,Bicep,SKIN41
130,-61.59799999999999,0.16081237942205193,Carotid Artery,SKIN41
131,-55.534000000000006,0.15466635111517923,Leg,SKIN41
132,-34.974,0.12882386759784994,Radial Artery,SKIN41
133,-13.782000000000002,0.0745617592164355,Bicep,SKIN42
134,-16.991999999999997,0.08792694913586858,Carotid Artery,SKIN42
135,-19.022,0.10012606262644656,Leg,SKIN42
136,-19.218,0.11821947499444342,Radial Artery,SKIN42
137,-13.662,0.07436937652866588,Bicep,SKIN43
138,-24.828,0.08396580949005093,Carotid Artery,SKIN43
139,-9.065999999999999,0.09091348419971662,Leg,SKIN43
140,-3.536,0.07654339659863746,Radial Artery,SKIN43
