,SkinID,Label,ITA,Wavelengths,Max,Min,FractionClipped,AnyClipping
187,SKIN04,Leg,38.988,910,2450.8888888888887,1647.4444444444443,0.0,0.0
200,SKIN04,Forearm,33.892,910,2462.3333333333335,1789.888888888889,0.0,0.0
162,SKIN04,Bicep,41.098,930,2563.777777777778,1673.2222222222222,0.0,0.0
175,SKIN04,Neck,30.57,930,2569.6666666666665,1637.111111111111,0.0,0.0
188,SKIN04,Leg,38.988,930,2596.6666666666665,1652.3333333333333,0.0,0.0
201,SKIN04,Forearm,33.892,930,2584.5555555555557,1808.111111111111,0.0,0.0
163,SKIN04,Bicep,41.098,950,2384.777777777778,1811.7777777777778,0.0,0.0
176,SKIN04,Neck,30.57,950,2361.0,1814.111111111111,0.0,0.0
189,SKIN04,Leg,38.988,950,2417.8888888888887,1832.4444444444443,0.0,0.0
202,SKIN04,Forearm,33.892,950,2422.8888888888887,1899.6666666666667,0.0,0.0
164,SKIN04,Bicep,41.098,980,2336.1111111111113,1853.0,0.0,0.0
177,SKIN04,Neck,30.57,980,2428.0,1842.4444444444443,0.0,0.0
190,SKIN04,Leg,38.988,980,2473.4444444444443,1862.111111111111,0.0,0.0
203,SKIN04,Forearm,33.892,980,2536.1111111111113,1860.0,0.0,0.0
165,SKIN04,Bicep,41.098,1030,2322.0,1892.888888888889,0.0,0.0
178,SKIN04,Neck,30.57,1030,2335.8888888888887,1901.111111111111,0.0,0.0
191,SKIN04,Leg,38.988,1030,2332.3333333333335,1924.888888888889,0.0,0.0
204,SKIN04,Forearm,33.892,1030,2337.777777777778,1964.4444444444443,0.0,0.0
166,SKIN04,Bicep,41.098,1080,2311.5555555555557,1938.2222222222222,0.0,0.0
179,SKIN04,Neck,30.57,1080,2288.8888888888887,1945.111111111111,0.0,0.0
192,SKIN04,Leg,38.988,1080,2291.6666666666665,1961.3333333333333,0.0,0.0
205,SKIN04,Forearm,33.892,1080,2296.5555555555557,1977.0,0.0,0.0
167,SKIN04,Bicep,41.098,1100,2323.6666666666665,1951.7777777777778,0.0,0.0
180,SKIN04,Neck,30.57,1100,2294.777777777778,1952.111111111111,0.0,0.0
193,SKIN04,Leg,38.988,1100,2300.4444444444443,1971.4444444444443,0.0,0.0
206,SKIN04,Forearm,33.892,1100,2314.1111111111113,1978.7777777777778,0.0,0.0
168,SKIN04,Bicep,41.098,1210,2615.6666666666665,1754.6666666666667,0.0,0.0
181,SKIN04,Neck,30.57,1210,2630.3333333333335,1718.7777777777778,0.0,0.0
194,SKIN04,Leg,38.988,1210,2621.8888888888887,1761.888888888889,0.0,0.0
207,SKIN04,Forearm,33.892,1210,2627.222222222222,1819.5555555555557,0.0,0.0
208,SKIN05,Bicep,51.318000000000005,700,2711.5555555555557,1266.7777777777778,0.0,0.0
221,SKIN05,Neck,36.326,700,3145.5555555555557,991.3333333333334,0.0,0.0
234,SKIN05,Leg,43.262,700,3395.222222222222,600.7777777777778,0.0,0.0
247,SKIN05,Forearm,48.432,700,2766.222222222222,1229.111111111111,0.0,0.0
209,SKIN05,Bicep,51.318000000000005,730,2624.8888888888887,1386.6666666666667,0.0,0.0
222,SKIN05,Neck,36.326,730,2985.0,1174.5555555555557,0.0,0.0
235,SKIN05,Leg,43.262,730,3203.777777777778,821.6666666666666,0.0,0.0
248,SKIN05,Forearm,48.432,730,2681.4444444444443,1359.0,0.0,0.0
210,SKIN05,Bicep,51.318000000000005,760,2485.5555555555557,1573.4444444444443,0.0,0.0
223,SKIN05,Neck,36.326,760,2710.777777777778,1436.0,0.0,0.0
236,SKIN05,Leg,43.262,760,2894.222222222222,1201.3333333333333,0.0,0.0
249,SKIN05,Forearm,48.432,760,2535.8888888888887,1554.4444444444443,0.0,0.0
211,SKIN05,Bicep,51.318000000000005,800,2425.0,1727.3333333333333,0.0,0.0
224,SKIN05,Neck,36.326,800,2575.5555555555557,1655.7777777777778,0.0,0.0
237,SKIN05,Leg,43.262,800,2681.6666666666665,1460.888888888889,0.0,0.0
250,SKIN05,Forearm,48.432,800,2461.0,1705.2222222222222,0.0,0.0
212,SKIN05,Bicep,51.318000000000005,850,2332.777777777778,1862.6666666666667,0.0,0.0
225,SKIN05,Neck,36.326,850,2450.5555555555557,1827.888888888889,0.0,0.0
238,SKIN05,Leg,43.262,850,2487.777777777778,1734.2222222222222,0.0,0.0
251,SKIN05,Forearm,48.432,850,2391.4444444444443,1856.4444444444443,0.0,0.0
213,SKIN05,Bicep,51.318000000000005,910,2426.222222222222,1833.5555555555557,0.0,0.0
226,SKIN05,Neck,36.326,910,2457.222222222222,1851.3333333333333,0.0,0.0
239,SKIN05,Leg,43.262,910,2446.0,1812.6666666666667,0.0,0.0
252,SKIN05,Forearm,48.432,910,2396.777777777778,1892.7777777777778,0.0,0.0
214,SKIN05,Bicep,51.318000000000005,930,2550.6666666666665,1790.5555555555557,0.0,0.0
227,SKIN05,Neck,36.326,930,2556.6666666666665,1820.2222222222222,0.0,0.0
240,SKIN05,Leg,43.262,930,2568.1111111111113,1803.7777777777778,0.0,0.0
253,SKIN05,Forearm,48.432,930,2517.0,1867.6666666666667,0.0,0.0
215,SKIN05,Bicep,51.318000000000005,950,2353.0,1877.2222222222222,0.0,0.0
228,SKIN05,Neck,36.326,950,2359.777777777778,1891.6666666666667,0.0,0.0
241,SKIN05,Leg,43.262,950,2412.1111111111113,1888.4444444444443,0.0,0.0
254,SKIN05,Forearm,48.432,950,2392.1111111111113,1920.3333333333333,0.0,0.0
216,SKIN05,Bicep,51.318000000000005,980,2399.5555555555557,1860.7777777777778,0.0,0.0
229,SKIN05,Neck,36.326,980,2440.6666666666665,1869.3333333333333,0.0,0.0
242,SKIN05,Leg,43.262,980,2474.1111111111113,1877.111111111111,0.0,0.0
255,SKIN05,Forearm,48.432,980,2443.5555555555557,1894.111111111111,0.0,0.0
217,SKIN05,Bicep,51.318000000000005,1030,2325.4444444444443,1938.0,0.0,0.0
230,SKIN05,Neck,36.326,1030,2342.6666666666665,1938.5555555555557,0.0,0.0
243,SKIN05,Leg,43.262,1030,2342.1111111111113,1951.6666666666667,0.0,0.0
256,SKIN05,Forearm,48.432,1030,2305.4444444444443,1961.111111111111,0.0,0.0
218,SKIN05,Bicep,51.318000000000005,1080,2292.6666666666665,1964.888888888889,0.0,0.0
231,SKIN05,Neck,36.326,1080,2315.0,1974.4444444444443,0.0,0.0
244,SKIN05,Leg,43.262,1080,2288.8888888888887,1975.7777777777778,0.0,0.0
257,SKIN05,Forearm,48.432,1080,2291.5555555555557,1973.2222222222222,0.0,0.0
219,SKIN05,Bicep,51.318000000000005,1100,2285.6666666666665,1960.4444444444443,0.0,0.0
232,SKIN05,Neck,36.326,1100,2303.1111111111113,1971.6666666666667,0.0,0.0
245,SKIN05,Leg,43.262,1100,2300.1111111111113,1970.4444444444443,0.0,0.0
258,SKIN05,Forearm,48.432,1100,2292.1111111111113,1975.111111111111,0.0,0.0
220,SKIN05,Bicep,51.318000000000005,1210,2606.4444444444443,1746.5555555555557,0.0,0.0
233,SKIN05,Neck,36.326,1210,2599.0,1786.5555555555557,0.0,0.0
246,SKIN05,Leg,43.262,1210,2632.5555555555557,1797.5555555555557,0.0,0.0
