,ITA,SSIM
284,25.806,0.9999744097391764
285,25.806,0.9999677340189616
325,33.218,0.9999765555063883
326,33.218,0.9999788602193197
327,33.218,0.9999779065450033
328,33.218,0.9999791781107584
329,33.218,0.9999779860178629
330,33.218,0.9999743302663168
331,33.218,0.9999690850575765
332,33.218,0.9999701976776123
333,33.218,0.999971071879069
334,33.218,0.9999728997548422
335,33.218,0.9999728202819824
336,33.218,0.9999727408091227
337,33.218,0.9999678134918213
377,-12.792,0.9999806880950928
378,-12.792,0.9999818801879883
379,-12.792,0.9999831517537435
380,-12.792,0.9999833106994629
381,-12.792,0.9999848206837972
382,-12.792,0.9999844233194987
383,-12.792,0.9999841849009196
384,-12.792,0.999982992808024
385,-12.792,0.9999817212422689
386,-12.792,0.9999818801879883
387,-12.792,0.9999779860178629
388,-12.792,0.9999762376149496
389,-12.792,0.9999750455220541
429,0.3639999999999999,0.9999759197235107
430,0.3639999999999999,0.9999780654907227
431,0.3639999999999999,0.9999798536300659
432,0.3639999999999999,0.9999798536300659
433,0.3639999999999999,0.9999797344207764
434,0.3639999999999999,0.9999774694442749
435,0.3639999999999999,0.9999761581420898
436,0.3639999999999999,0.9999759197235107
437,0.3639999999999999,0.9999709129333496
438,0.3639999999999999,0.9999712109565735
439,0.3639999999999999,0.9999755620956421
440,0.3639999999999999,0.999971330165863
441,0.3639999999999999,0.9999566078186035
481,52.705999999999996,0.9999796549479166
482,52.705999999999996,0.999980608622233
483,52.705999999999996,0.999979575475057
484,52.705999999999996,0.9999791781107584
485,52.705999999999996,0.9999785423278809
486,52.705999999999996,0.9999779065450033
487,52.705999999999996,0.9999768733978271
488,52.705999999999996,0.9999777475992838
489,52.705999999999996,0.9999762376149496
490,52.705999999999996,0.9999788602193197
491,52.705999999999996,0.9999783039093018
492,52.705999999999996,0.9999783833821615
493,52.705999999999996,0.9999722639719645
533,32.446,0.999982992808024
534,32.446,0.9999831517537435
535,32.446,0.9999828338623047
536,32.446,0.9999841054280599
537,32.446,0.9999832312266032
538,32.446,0.9999839464823405
539,32.446,0.9999842643737793
540,32.446,0.9999818007151285
541,32.446,0.9999802112579346
542,32.446,0.9999814828236898
543,32.446,0.9999818007151285
544,32.446,0.9999798138936361
545,32.446,0.9999746481577555
585,64.144,0.9999799728393555
586,64.144,0.9999815622965494
587,64.144,0.9999807675679525
588,64.144,0.9999805291493734
589,64.144,0.9999802907307943
590,64.144,0.9999780654907227
591,64.144,0.999974807103475
592,64.144,0.9999761581420898
593,64.144,0.9999716281890869
594,64.144,0.9999731381734213
595,64.144,0.999975840250651
596,64.144,0.9999744097391764
597,64.144,0.9999640782674154
650,1.5059999999999998,0.9999810457229614
651,1.5059999999999998,0.999981164932251
