,ITA,SSIM
1010,50.612,0.9999790986378988
1011,50.612,0.9999812444051107
1012,50.612,0.9999822775522867
1013,50.612,0.9999793370564779
1053,12.538,0.9999903043111166
1054,12.538,0.9999905427296957
1055,12.538,0.999988873799642
1056,12.538,0.9999879995981852
1057,12.538,0.9999871253967285
1058,12.538,0.9999860127766927
1059,12.538,0.9999879201253256
1060,12.538,0.9999852180480957
1061,12.538,0.999980608622233
1062,12.538,0.9999837875366211
1063,12.538,0.999983549118042
1064,12.538,0.9999817212422689
1065,12.538,0.9999774297078451
1105,54.60799999999999,0.9999850591023763
1106,54.60799999999999,0.9999853769938151
1107,54.60799999999999,0.9999852975209554
1108,54.60799999999999,0.999984343846639
1109,54.60799999999999,0.9999847412109375
1110,54.60799999999999,0.9999872048695883
1111,54.60799999999999,0.9999880790710449
1112,54.60799999999999,0.9999858538309733
1113,54.60799999999999,0.9999860127766927
1114,54.60799999999999,0.9999849001566569
1115,54.60799999999999,0.9999841054280599
1116,54.60799999999999,0.999982992808024
1117,54.60799999999999,0.9999761581420898
1157,50.8,0.9999877214431763
1158,50.8,0.9999868869781494
1159,50.8,0.9999868869781494
1160,50.8,0.9999853372573853
1161,50.8,0.9999855756759644
1162,50.8,0.9999878406524658
1163,50.8,0.9999881386756897
1164,50.8,0.9999872446060181
1165,50.8,0.9999871850013733
1166,50.8,0.9999865293502808
1167,50.8,0.9999848008155823
1168,50.8,0.9999845027923584
1169,50.8,0.9999703764915466
1209,25.374000000000002,0.9999872843424479
1210,25.374000000000002,0.9999863306681315
1211,25.374000000000002,0.9999848206837972
1212,25.374000000000002,0.9999837875366211
1213,25.374000000000002,0.9999812444051107
1214,25.374000000000002,0.9999771118164062
1215,25.374000000000002,0.9999759197235107
1216,25.374000000000002,0.9999764760335287
1217,25.374000000000002,0.9999697208404541
1218,25.374000000000002,0.9999662240346273
1219,25.374000000000002,0.9999744892120361
1220,25.374000000000002,0.9999775886535645
1221,25.374000000000002,0.9999744097391764
1274,24.27,0.9999887943267822
1275,24.27,0.9999880790710449
1276,24.27,0.9999858538309733
1277,24.27,0.9999852975209554
1278,24.27,0.9999832312266032
1279,24.27,0.9999804496765137
1280,24.27,0.9999792575836182
1281,24.27,0.9999798138936361
1282,24.27,0.9999762376149496
1283,24.27,0.9999717871348063
1284,24.27,0.9999744097391764
1285,24.27,0.9999732971191406
1286,24.27,0.9999755223592123
1326,-26.653999999999996,0.9999906222025553
1327,-26.653999999999996,0.9999891916910807
1328,-26.653999999999996,0.9999893506368002
1329,-26.653999999999996,0.9999892711639404
1330,-26.653999999999996,0.9999883969624838
1331,-26.653999999999996,0.9999862511952718
1332,-26.653999999999996,0.9999833106994629
1333,-26.653999999999996,0.9999801317850748
1334,-26.653999999999996,0.9999740123748779
1335,-26.653999999999996,0.9999717871348063
1336,-26.653999999999996,0.9999779860178629
1337,-26.653999999999996,0.9999779065450033
1338,-26.653999999999996,0.9999750455220541
1378,-29.470000000000006,0.999991257985433
1379,-29.470000000000006,0.999992291132609
1380,-29.470000000000006,0.9999925295511881
1381,-29.470000000000006,0.9999932448069254
1382,-29.470000000000006,0.9999925295511881
1383,-29.470000000000006,0.9999907811482748
1384,-29.470000000000006,0.9999899864196777
1385,-29.470000000000006,0.9999872843424479
